"filename", "language", "HTML", "Markdown", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "TypeScript JSX", "XML", "YAML", "PostCSS", "comment", "blank", "total"
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-02-28_11-44Z-删除旧项目中的-git文件夹和编译文件.md", "Markdown", 0, 934, 0, 0, 0, 0, 0, 0, 0, 0, 2, 353, 1289
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-02-28_12-06Z-conversation-history-processing.md", "Markdown", 0, 3920, 0, 0, 0, 0, 0, 0, 0, 0, 1626, 1070, 6616
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-02-28_14-18Z-智能体集群任务提示词优化.md", "Markdown", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 2, 124, 378
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-02-28_14-30Z-document-renaming-and-script-creation.md", "Markdown", 0, 519, 0, 0, 0, 0, 0, 0, 0, 0, 2, 156, 677
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-02-28_15-03Z-document-merging-from-folder-structure.md", "Markdown", 0, 406, 0, 0, 0, 0, 0, 0, 0, 0, 2, 89, 497
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-02-28_16-34Z-documentation-file-structure-and-naming.md", "Markdown", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 2, 79, 288
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_04-25Z-薯片生态文档重构.md", "Markdown", 0, 5334, 0, 0, 0, 0, 0, 0, 0, 0, 2, 730, 6066
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_05-30Z-文档重构与优化.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41, 111
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_05-39Z-文档优化与生态设计重构.md", "Markdown", 0, 2059, 0, 0, 0, 0, 0, 0, 0, 0, 2, 931, 2992
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_05-59Z-薯片生态文档重构.md", "Markdown", 0, 708, 0, 0, 0, 0, 0, 0, 0, 0, 2, 482, 1192
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_06-04Z-documentation-restructuring-for-software-ecosystem.md", "Markdown", 0, 4992, 0, 0, 0, 0, 0, 0, 0, 0, 2, 549, 5543
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_12-24Z-software-ecosystem-documentation-restructuring.md", "Markdown", 0, 10182, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1217, 11401
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_13-59Z-development-outline-for-chip-ecosystem.md", "Markdown", 0, 3460, 0, 0, 0, 0, 0, 0, 0, 0, 2, 580, 4042
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_14-31Z-it-se.md", "Markdown", 0, 2104, 0, 0, 0, 0, 0, 0, 0, 0, 2, 654, 2760
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_14-35Z-it-se.md", "Markdown", 0, 7504, 0, 0, 0, 0, 0, 0, 0, 0, 2, 664, 8170
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_14-35Z-pleas-1.md", "Markdown", 0, 1379, 0, 0, 0, 0, 0, 0, 0, 0, 2, 470, 1851
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_14-35Z-pleas.md", "Markdown", 0, 1463, 0, 0, 0, 0, 0, 0, 0, 0, 2, 519, 1984
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_14-36Z-it-se.md", "Markdown", 0, 2450, 0, 0, 0, 0, 0, 0, 0, 0, 2, 633, 3085
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_14-36Z-pleas-1.md", "Markdown", 0, 1457, 0, 0, 0, 0, 0, 0, 0, 0, 2, 515, 1974
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_14-36Z-pleas.md", "Markdown", 0, 2011, 0, 0, 0, 0, 0, 0, 0, 0, 2, 354, 2367
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_15-24Z-生态设计原稿与旧文档对比.md", "Markdown", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 2, 110, 337
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_15-25Z-文件格式规范与旧版文档对比.md", "Markdown", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 2, 86, 271
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_15-25Z-文档符合性检查.md", "Markdown", 0, 1521, 0, 0, 0, 0, 0, 0, 0, 0, 2, 391, 1914
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_15-25Z-生态共用技术文档与旧版架构文档对比.md", "Markdown", 0, 565, 0, 0, 0, 0, 0, 0, 0, 0, 2, 286, 853
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_15-26Z-主题系统与旧版架构文档对比.md", "Markdown", 0, 1016, 0, 0, 0, 0, 0, 0, 0, 0, 2, 315, 1333
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_15-26Z-文档符合性检查-1.md", "Markdown", 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 2, 149, 461
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_15-26Z-文档符合性检查-2.md", "Markdown", 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 2, 123, 376
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-01_15-26Z-文档符合性检查.md", "Markdown", 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 2, 118, 391
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-02_17-23Z-documentation-types-review-and-checklist.md", "Markdown", 0, 549, 0, 0, 0, 0, 0, 0, 0, 0, 2, 192, 743
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-02_17-31Z-薯片生态产品概述.md", "Markdown", 0, 1155, 0, 0, 0, 0, 0, 0, 0, 0, 2, 172, 1329
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-02_18-58Z-card-file-format-specification-comparison.md", "Markdown", 0, 581, 0, 0, 0, 0, 0, 0, 0, 0, 2, 228, 811
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-03_07-53-25Z-git-md-sdk-develop.md", "Markdown", 0, 50292, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8629, 58923
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-03_15-14-11Z-薯片组件库文档编写与设计.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39, 88
"/Users/sevenstars/Documents/ChipsCard/Develop/Project-13-2-f/.specstory/history/2026-03-03_15-14Z-薯片组件库文档编写与设计.md", "Markdown", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 2, 58, 118
